R_L=100kOhm R_L=100kOhm R_L=1kOhm R_L=1kOhm R_L=100Ohm R_L=100Ohm
I/mA        U/V         I/mA      U/V       I/mA       U/V
0.076       7.24        0.15      0.24      22         2.24
0.072       6.88        0.25      0.30      11.2       1.14
0.061       5.83        0.5       0.49      4.7        0.61
0.053       5.06        0.7       0.67      2.3        0.22
0.050       4.76        0.95      0.91      1.8        0.17
0.045       4.22        1.1       1.06      1.4        0.13
0.040       3.77        1.3       1.27      1.1        0.10
0.034       3.21        1.8       1.75      0.75       0.08
0.025       2.29        2.1       2.71      0.65       0.06
0.017       1.54        2.6       3.50      0.45       0.04
0.006       1.01        3.2       4.18      NaN        NaN
NaN         NaN         4.5       5.9       NaN        NaN
