Diode             Diode             Diode         Diode         Zener-Diode       Zener-Diode       Zener-Diode   Zener-Diode
Durchlassrichtung Durchlassrichtung Sperrrichtung Sperrrichtung Durchlassrichtung Durchlassrichtung Sperrrichtung Sperrrichtung
I/mA              U/mV              I/uA          U/mV          I/mA              U/mV              I/uA          U/V
0       0.1     0.      0.003   0       0.002   0       0.003
0       0.175   0.05    0.42    0       0.2     0.05    0.446
0.005   0.33    0.1     0.88    0.0015  0.4     0.1     0.968
0.01    0.363   0.15    1.41    0.01    0.5     0.15    1.437
0.019   0.388   0.2     1.906   0.2     0.6     0.2     1.948
0.028   0.401   0.25    2.43    1.2     0.67    0.25    2.481
0.039   0.414   0.3     2.9     2.6     0.7     0.3     2.97
0.044   0.420   0.22    2.13    7       0.75    NaN     NaN
0.052   0.427   0.13    1.18    20      0.8     NaN     NaN
0.06    0.433   0.32    3.2     38      0.827   NaN     NaN
0.07    0.44    0.37    3.7     NaN     NaN     NaN     NaN
0.1     0.45    0.45    4.1     NaN     NaN     NaN     NaN
0.2     0.48    0.47    4.27    NaN     NaN     NaN     NaN
0.3     0.50    NaN     NaN     NaN     NaN     NaN     NaN
0.42    0.52    NaN     NaN     NaN     NaN     NaN     NaN
0.62    0.54    NaN     NaN     NaN     NaN     NaN     NaN
1.8     0.567   NaN     NaN     NaN     NaN     NaN     NaN
2.9     0.61    NaN     NaN     NaN     NaN     NaN     NaN
4.0     0.63    NaN     NaN     NaN     NaN     NaN     NaN
5.0     0.64    NaN     NaN     NaN     NaN     NaN     NaN
6.0     0.65    NaN     NaN     NaN     NaN     NaN     NaN
8.0     0.67    NaN     NaN     NaN     NaN     NaN     NaN
20.0    0.70    NaN     NaN     NaN     NaN     NaN     NaN
30.0    0.72    NaN     NaN     NaN     NaN     NaN     NaN
40.0    0.73    NaN     NaN     NaN     NaN     NaN     NaN
