R_L=100kOhm R_L=100kOhm R_L=1kOhm R_L=1kOhm R_L=100Ohm R_L=100Ohm
I/mA        U/V         I/mA      U/V       I/mA       U/V
0.005       0.44        1         1.19      3.9        0.38
0.01        0.95        2         2.20      1.0        0.10
0.015       1.42        3         3.25      1.5        0.14
0.02        1.92        4         4.19      2.0        0.19
0.025       2.39        5.1       5.30      2.5        0.24
0.03        2.90        6.0       6.23      3.0        0.29
0.035       3.32        4.5       4.79      3.5        0.34
0.04        3.86        3.5       3.79      4.0        0.39
0.045       4.36        2.5       2.77      4.5        0.44
0.05        4.86        1.5       1.68      5.0        0.49
0.055       5.32        0.5       0.79      5.5        0.55
0.06        5.85        NaN       NaN       6.0        0.59
NaN         NaN         NaN       NaN       7.0        0.69
NaN         NaN         NaN       NaN       8.1        0.80
NaN         NaN         NaN       NaN       9.0        0.89
NaN         NaN         NaN       NaN       10.0       0.99
